,Unnamed: 0,Unnamed: 0.1,FileName,ARTIST,TITLE,Chart Date,Peak Position,Weeks on Chart,Target Rank,Actual Rank,Sample ID#,YoutubeLink,OriginalAudio,Year,SongGroup,HumName,WavFileName
0,0,692.0,TheTurtles_HappyTogether_1967,The Turtles,Happy Together,4/22/67,1,15,2,2,1290,https://www.youtube.com/watch?v=mRCe5L1imxg,True,1967,0,TheTurtles_HappyTogether_1967.hum,wavs/TheTurtles_HappyTogether_1967.wav
1,1,383.0,LedZeppelin_OverTheHillsAndFarAway_1973,Led Zeppelin,Over The Hills And Far Away,"1973/06/30, 1973/08/11","51, 51","8, 8","80, 64","81, 64","53, 1025",https://www.youtube.com/watch?v=0Az-TuYb4h0,True,1973,0,LedZeppelin_OverTheHillsAndFarAway_1973.hum,wavs/LedZeppelin_OverTheHillsAndFarAway_1973.wav
2,2,293.0,GratefulDead_SugarMagnolia_1973,Grateful Dead,Sugar Magnolia,2/10/73,91,2,93,91,1034,https://www.youtube.com/watch?v=AWuQiGaIsso,True,1973,0,GratefulDead_SugarMagnolia_1973.hum,wavs/GratefulDead_SugarMagnolia_1973.wav
3,3,473.0,PinkFloyd_AnotherBrickInTheWall_1980,Pink Floyd,Another Brick In The Wall (Part II),7/5/80,1,25,93,94,1052,https://www.youtube.com/watch?v=xBQsQoGodPY,True,1980,0,PinkFloyd_AnotherBrickInTheWall_1980.hum,wavs/PinkFloyd_AnotherBrickInTheWall_1980.wav
4,4,451.0,PatBenatar_Heartbreaker_1980,Pat Benatar,Heartbreaker,"1980/03/08, 1979/12/22","23, 23","18, 18","22, 75","24, 76","1053, 1204",https://www.youtube.com/watch?v=fjFDDTtabMQ,True,1980,0,PatBenatar_Heartbreaker_1980.hum,wavs/PatBenatar_Heartbreaker_1980.wav
5,5,273.0,GeorgeHarrison_CrackerboxPalace_1977,George Harrison,Crackerbox Palace,2/5/77,19,11,49,49,1282,https://www.youtube.com/watch?v=8Ac34Khe-fc,True,1977,1,GeorgeHarrison_CrackerboxPalace_1977.hum,wavs/GeorgeHarrison_CrackerboxPalace_1977.wav
6,6,209.0,DuranDuran_IsThereSomethingIShouldKnow_1983,Duran Duran,Is There Something I Should Know,9/10/83,4,17,46,45,1043,https://www.youtube.com/watch?v=3M0hogZyRyU,True,1983,1,DuranDuran_IsThereSomethingIShouldKnow_1983.hum,wavs/DuranDuran_IsThereSomethingIShouldKnow_1983.wav
7,7,388.0,Level42_SomethingAboutYou_1986,Level 42,Something About You,"1986/03/22, 1986/07/05","7, 7","27, 27","52, 34","52, 34","158, 1237",https://www.youtube.com/watch?v=E-zP66eSLto,True,1986,1,Level42_SomethingAboutYou_1986.hum,wavs/Level42_SomethingAboutYou_1986.wav
8,8,266.0,Genesis_Abacab_1982,Genesis,Abacab,2/20/82,26,14,26,26,1256,https://www.youtube.com/watch?v=suCNZe3Gwkw,True,1982,1,Genesis_Abacab_1982.hum,wavs/Genesis_Abacab_1982.wav
9,9,148.0,CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971,Cornelius Brothers & Sister Rose,Treat Her Like A Lady,"1971/05/08, 1971/06/12","3, 3","18, 18","44,  8","45,  8","932, 1280",https://www.youtube.com/watch?v=IEYrNg3MpZg,True,1971,1,CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971.hum,wavs/CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971.wav
10,10,604.0,TheChiffons_HesSoFine_1963,The Chiffons,He's So Fine,3/9/63,1,15,17,19,1292,https://www.youtube.com/watch?v=rinz9Avvq6A,True,1963,2,TheChiffons_HesSoFine_1963.hum,wavs/TheChiffons_HesSoFine_1963.wav
11,11,353.0,JohnnyHorton_JohnnyReb_1959,Johnny Horton,Johnny Reb,8/24/59,54,8,69,70,1287,https://www.youtube.com/watch?v=nAbZ3I6-1lY,True,1959,2,JohnnyHorton_JohnnyReb_1959.hum,wavs/JohnnyHorton_JohnnyReb_1959.wav
12,12,718.0,VanHalen_WhenItsLove_1988,Van Halen,When It's Love,7/30/88,29,2,30,29,1281,https://www.youtube.com/watch?v=6xSEfUTNqLk,True,1988,2,VanHalen_WhenItsLove_1988.hum,wavs/VanHalen_WhenItsLove_1988.wav
13,13,50.0,BillyIdol_RebelYell_1984,Billy Idol,Rebel Yell,4/7/84,46,14,61,61,1167,https://www.youtube.com/watch?v=VdphvuyaV_I,True,1984,2,BillyIdol_RebelYell_1984.hum,wavs/BillyIdol_RebelYell_1984.wav
14,14,120.0,Chicago_25Or6To4_1970,Chicago,25 Or 6 To 4,"1970/08/08, 1970/08/29, 1970/09/05","4, 4, 4","20, 20, 20","26, 10,  5","27, 10,  6","176, 292, 1227",https://www.youtube.com/watch?v=7uAUoz7jimg,True,1970,2,Chicago_25Or6To4_1970.hum,wavs/Chicago_25Or6To4_1970.wav
15,15,380.0,LaVernBaker_ICriedATear_1959,LaVern Baker,I Cried A Tear,"1959/02/09, 1959/02/02, 1959/02/02","6, 6, 6","21, 21, 21","14, 20, 21","12, 19, 19","822, 954, 1166",https://www.youtube.com/watch?v=AyXxgYP-u34,True,1959,3,LaVernBaker_ICriedATear_1959.hum,wavs/LaVernBaker_ICriedATear_1959.wav
16,16,681.0,TheShirelles_WillYouLoveMeTomorrow_1961,The Shirelles,Will You Love Me Tomorrow,1/9/61,1,19,6,5,1239,https://www.youtube.com/watch?v=z84YVaS8Njc,True,1961,3,TheShirelles_WillYouLoveMeTomorrow_1961.hum,wavs/TheShirelles_WillYouLoveMeTomorrow_1961.wav
17,17,535.0,SimonAndGarfunkel_TheSoundsOfSilence_1965,Simon & Garfunkel,The Sounds Of Silence,12/11/65,1,14,27,26,1153,https://www.youtube.com/watch?v=4fWyzwo1xg0,True,1965,3,SimonAndGarfunkel_TheSoundsOfSilence_1965.hum,wavs/SimonAndGarfunkel_TheSoundsOfSilence_1965.wav
